scenario,heuristic,expanded_nodes,fringe_size,depth,path
s1,h1,2,5,2,left->up
s1,h2,2,5,2,left->up
s1,h3,2,5,2,left->up
s1,h4,2,5,2,left->up
s2,h1,2,3,2,left->left
s2,h2,2,3,2,left->left
s2,h3,2,3,2,left->left
s2,h4,2,3,2,left->left
s3,h1,6,7,6,right->down->left->left->up->up
s3,h2,6,7,6,right->down->left->left->up->up
s3,h3,6,7,6,right->down->left->left->up->up
s3,h4,6,7,6,right->down->left->left->up->up
s4,h1,7,7,6,up->up->left->down->left->up
s4,h2,6,7,6,up->up->left->down->left->up
s4,h3,6,7,6,up->up->left->down->left->up
s4,h4,6,7,6,up->up->left->down->left->up
s5,h1,13,13,6,left->down->right->up->up->left
s5,h2,8,10,6,left->down->right->up->up->left
s5,h3,8,10,6,left->down->right->up->up->left
s5,h4,8,10,6,left->down->right->up->up->left
s6,h1,2,3,2,up->up
s6,h2,2,3,2,up->up
s6,h3,2,3,2,up->up
s6,h4,2,3,2,up->up
s7,h1,0,1,0,
s7,h2,0,1,0,
s7,h3,0,1,0,
s7,h4,0,1,0,
s8,h1,0,1,0,
s8,h2,0,1,0,
s8,h3,0,1,0,
s8,h4,0,1,0,
s9,h1,20,17,8,up->up->left->down->right->up->left->left
s9,h2,15,12,8,up->up->left->down->right->up->left->left
s9,h3,15,12,8,up->up->left->down->right->up->left->left
s9,h4,15,12,8,up->up->left->down->right->up->left->left
s10,h1,4,4,4,up->up->left->left
s10,h2,4,4,4,up->up->left->left
s10,h3,4,4,4,up->up->left->left
s10,h4,4,4,4,up->up->left->left
s11,h1,4,6,4,down->left->up->up
s11,h2,4,6,4,down->left->up->up
s11,h3,4,6,4,down->left->up->up
s11,h4,4,6,4,down->left->up->up
s12,h1,12,12,6,down->left->up->right->up->left
s12,h2,8,10,6,down->left->up->right->up->left
s12,h3,8,10,6,down->left->up->right->up->left
s12,h4,8,10,6,down->left->up->right->up->left
s13,h1,12,12,6,up->right->down->left->up->left
s13,h2,7,9,6,up->right->down->left->up->left
s13,h3,7,9,6,up->right->down->left->up->left
s13,h4,7,9,6,up->right->down->left->up->left
s14,h1,2,3,2,left->left
s14,h2,2,3,2,left->left
s14,h3,2,3,2,left->left
s14,h4,2,3,2,left->left
s15,h1,6,7,6,down->right->up->up->left->left
s15,h2,6,7,6,down->right->up->up->left->left
s15,h3,6,7,6,down->right->up->up->left->left
s15,h4,6,7,6,down->right->up->up->left->left
s16,h1,2,3,2,left->left
s16,h2,2,3,2,left->left
s16,h3,2,3,2,left->left
s16,h4,2,3,2,left->left
s17,h1,4,6,4,down->left->up->up
s17,h2,4,6,4,down->left->up->up
s17,h3,4,6,4,down->left->up->up
s17,h4,4,6,4,down->left->up->up
s18,h1,9,11,6,right->down->left->up->up->left
s18,h2,8,10,6,right->down->left->up->up->left
s18,h3,8,10,6,right->down->left->up->up->left
s18,h4,8,10,6,right->down->left->up->up->left
s19,h1,2,5,2,left->up
s19,h2,2,5,2,left->up
s19,h3,2,5,2,left->up
s19,h4,2,5,2,left->up
s20,h1,4,6,4,left->up->up->left
s20,h2,4,6,4,left->up->up->left
s20,h3,4,6,4,left->up->up->left
s20,h4,4,6,4,left->up->up->left
s21,h1,2,5,2,up->left
s21,h2,2,5,2,up->left
s21,h3,2,5,2,up->left
s21,h4,2,5,2,up->left
s22,h1,6,7,6,right->down->left->left->up->up
s22,h2,6,7,6,right->down->left->left->up->up
s22,h3,6,7,6,right->down->left->left->up->up
s22,h4,6,7,6,right->down->left->left->up->up
s23,h1,4,6,4,down->left->up->up
s23,h2,4,6,4,down->left->up->up
s23,h3,4,6,4,down->left->up->up
s23,h4,4,6,4,down->left->up->up
s24,h1,4,6,4,right->up->left->left
s24,h2,4,6,4,right->up->left->left
s24,h3,4,6,4,right->up->left->left
s24,h4,4,6,4,right->up->left->left
s25,h1,7,7,6,left->down->down->left->up->up
s25,h2,6,7,6,left->down->down->left->up->up
s25,h3,6,7,6,left->down->down->left->up->up
s25,h4,6,7,6,left->down->down->left->up->up
s26,h1,2,5,2,up->left
s26,h2,2,5,2,up->left
s26,h3,2,5,2,up->left
s26,h4,2,5,2,up->left
s27,h1,4,6,4,down->left->up->up
s27,h2,4,6,4,down->left->up->up
s27,h3,4,6,4,down->left->up->up
s27,h4,4,6,4,down->left->up->up
s28,h1,4,6,4,down->left->left->up
s28,h2,4,6,4,down->left->left->up
s28,h3,4,6,4,down->left->left->up
s28,h4,4,6,4,down->left->left->up
s29,h1,6,7,6,down->down->left->up->up->left
s29,h2,6,7,6,down->down->left->up->up->left
s29,h3,6,7,6,down->down->left->up->up->left
s29,h4,6,7,6,down->down->left->up->up->left
s30,h1,4,6,4,down->left->left->up
s30,h2,4,6,4,down->left->left->up
s30,h3,4,6,4,down->left->left->up
s30,h4,4,6,4,down->left->left->up
s31,h1,5,6,4,left->down->left->up
s31,h2,4,6,4,left->down->left->up
s31,h3,4,6,4,left->down->left->up
s31,h4,4,6,4,left->down->left->up
s32,h1,4,4,4,left->left->up->up
s32,h2,4,4,4,left->left->up->up
s32,h3,4,4,4,left->left->up->up
s32,h4,4,4,4,left->left->up->up
s33,h1,2,5,2,up->left
s33,h2,2,5,2,up->left
s33,h3,2,5,2,up->left
s33,h4,2,5,2,up->left
s34,h1,2,3,2,left->left
s34,h2,2,3,2,left->left
s34,h3,2,3,2,left->left
s34,h4,2,3,2,left->left
s35,h1,7,8,6,down->right->right->up->left->left
s35,h2,6,7,6,down->right->right->up->left->left
s35,h3,6,7,6,down->right->right->up->left->left
s35,h4,6,7,6,down->right->right->up->left->left
s36,h1,4,6,4,right->up->left->up
s36,h2,4,6,4,right->up->left->up
s36,h3,4,6,4,right->up->left->up
s36,h4,4,6,4,right->up->left->up
s37,h1,4,6,4,right->up->left->up
s37,h2,4,6,4,right->up->left->up
s37,h3,4,6,4,right->up->left->up
s37,h4,4,6,4,right->up->left->up
s38,h1,5,6,4,up->right->up->left
s38,h2,4,6,4,up->right->up->left
s38,h3,4,6,4,up->right->up->left
s38,h4,4,6,4,up->right->up->left
s39,h1,7,7,6,up->right->right->up->left->left
s39,h2,6,7,6,up->right->right->up->left->left
s39,h3,6,7,6,up->right->right->up->left->left
s39,h4,6,7,6,up->right->right->up->left->left
s40,h1,5,7,4,right->down->left->up
s40,h2,4,6,4,right->down->left->up
s40,h3,4,6,4,right->down->left->up
s40,h4,4,6,4,right->down->left->up
