scenario,method,expanded_nodes,fringe_size,depth,path
Scenario 1,BFS,85,64,6,right->right->down->left->up->left
Scenario 1,DFS,72510,203,164,right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->up->right->down->down->left->left->up->right->up->right->down->left->left->down->right->right->up->left->down->right->up->left->up->left->down->right->right->up->left->down->left->up->right->down->left->up
Scenario 1,UCS,85,64,6,right->right->down->left->up->left
Scenario 1,A*,84,63,6,right->right->down->left->up->left
Scenario 1,h3,7,8,6,right->right->down->left->up->left
Scenario 2,BFS,54,40,6,down->down->right->up->left->up
Scenario 2,DFS,20372,203,164,right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->up->right->right->down->left->left->down->right->right->up->left->up->left->down->right->up->right->down->left->down->right->up->up->left->down->down->left->up->up
Scenario 2,UCS,54,40,6,down->down->right->up->left->up
Scenario 2,A*,53,39,6,down->down->right->up->left->up
Scenario 2,h3,7,8,6,down->down->right->up->left->up
Scenario 3,BFS,4,4,2,up->up
Scenario 3,DFS,30,42,30,right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->up
Scenario 3,UCS,4,4,2,up->up
Scenario 3,A*,3,4,2,up->up
Scenario 3,h3,2,3,2,up->up
Scenario 4,BFS,24,18,4,right->up->up->left
Scenario 4,DFS,1102,203,160,right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->up->left->left->down->right->down->right->up->up->left->left->down->right->down->left->up->up
Scenario 4,UCS,24,18,4,right->up->up->left
Scenario 4,A*,23,18,4,right->up->up->left
Scenario 4,h3,4,6,4,right->up->up->left
Scenario 5,BFS,249,145,8,left->down->right->down->left->left->up->up
Scenario 5,DFS,96512,203,166,left->left->down->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->down->right->down->left->left->up->right->right->up->left->down->left->up->right->down->down->right->up->left->left->down->right->right->up->left->up->right->down->left->left->up->right->down->left->up->right->down->down->left->up->up
Scenario 5,UCS,249,145,8,left->down->right->down->left->left->up->up
Scenario 5,A*,248,141,8,left->down->right->down->left->left->up->up
Scenario 5,h3,8,8,8,left->down->right->down->left->left->up->up
Scenario 6,BFS,35,30,4,right->up->left->left
Scenario 6,DFS,106398,203,170,right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->up->left->down->right->down->left->up->right->right->up->left->left->down->right->down->right->up->up->left->left->down->right->down->left->up->right->down->left->up->up->right->down->left->down->right->up->left->up->right->down->left->up->right->down->left->up
Scenario 6,UCS,35,30,4,right->up->left->left
Scenario 6,A*,34,30,4,right->up->left->left
Scenario 6,h3,4,6,4,right->up->left->left
Scenario 7,BFS,26,18,4,right->down->left->up
Scenario 7,DFS,93362,203,166,right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->down->right->down->left->left->up->right->right->up->left->down->left->down->right->up->left->up->right->down->left->down->right->up->right->down->left->up->up->right->down->left->up->right->down->down->left->left->up->right->up->left
Scenario 7,UCS,26,18,4,right->down->left->up
Scenario 7,A*,25,18,4,right->down->left->up
Scenario 7,h3,4,6,4,right->down->left->up
Scenario 8,BFS,17,18,4,up->up->left->left
Scenario 8,DFS,32,43,32,left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->up->left->left
Scenario 8,UCS,17,18,4,up->up->left->left
Scenario 8,A*,16,18,4,up->up->left->left
Scenario 8,h3,4,4,4,up->up->left->left
Scenario 9,BFS,35,30,4,right->up->left->left
Scenario 9,DFS,106398,203,170,right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->up->left->down->right->down->left->up->right->right->up->left->left->down->right->down->right->up->up->left->left->down->right->down->left->up->right->down->left->up->up->right->down->left->down->right->up->left->up->right->down->left->up->right->down->left->up
Scenario 9,UCS,35,30,4,right->up->left->left
Scenario 9,A*,34,30,4,right->up->left->left
Scenario 9,h3,4,6,4,right->up->left->left
Scenario 10,BFS,6,8,2,up->left
Scenario 10,DFS,2639,203,160,right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->up->right->right->down->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->right->up->left->left->down->right->up->right->down->left->left->up->right->right->down->left->left->up->right->right->down->left->left->up->right->right->up->left->left->down->down->right->right->up->up->left->left->down->right->down->left->up->up
Scenario 10,UCS,6,8,2,up->left
Scenario 10,A*,5,8,2,up->left
Scenario 10,h3,2,5,2,up->left
Scenario 11,BFS,64,45,6,down->right->down->left->up->up
